id;name;sku;price;quantity;status
1;knottily interrogate among;"W2SVR";10512.9;32379;OUT_OF_STOCK
2;aha attach;"SCRB5XXNPAH";4608.43;26796;DISCONTINUED
3;consequently directory unto;"EVL2Z0";31349.15;9091;OUT_OF_STOCK
4;or;"LNOYC";29209.17;10909;OUT_OF_STOCK
5;acquire gravitate;"1-_8KTJ";20338.37;19906;OUT_OF_STOCK
6;backspace wherever hmph;"F52LQ30-9_P393TE8AP";20127.85;8610;AVAILABLE
7;scream growing unusual;"891R";8308.6;21978;AVAILABLE
8;till;"U13RK3NR2RJ8Q5CZ8-";31598.23;9389;AVAILABLE
9;needily pfft;"X_43G36D-48GC25Y5";7014.82;30270;DISCONTINUED
10;since;"GWRPQQ0";31178;26906;OUT_OF_STOCK
